,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clusters,uri,song,artist
0,0.26,0.369,9,-15.38,1,0.0341,0.715,0.131,0.0971,0.159,140.034,1,spotify:track:4bDWAzaeJCKUwEdeU9TrUs,Lullaby,OneRepublic
0,0.22,0.681,2,-5.517,0,0.037,0.0319,0.000404,0.423,0.116,100.051,6,spotify:track:1ScNnI2IU12csZu6Szx1QZ,Sleep,OneRepublic
0,0.221,0.872,5,-5.05,1,0.0712,0.0632,2.77e-06,0.697,0.0647,97.827,0,spotify:track:4PVKld0kvcKIifVZLILP2m,Shout - Live In Glasgow,OneRepublic
0,0.487,0.672,6,-6.506,1,0.0304,0.121,3.3e-05,0.109,0.2,126.089,2,spotify:track:34L1fmpUFOeU8KgYG11I43,Passenger,OneRepublic
0,0.396,0.671,9,-6.347,1,0.0311,0.0356,0.0,0.0933,0.286,164.023,10,spotify:track:1lTX08J8FPkjwvQtWJeC1F,It's A Shame,OneRepublic
0,0.345,0.866,9,-4.688,1,0.0494,0.103,0.0,0.154,0.576,153.95,10,spotify:track:6jkGTUFnFqkrZ9u9NaqJ0J,Trap Door,OneRepublic
0,0.436,0.844,4,-5.149,0,0.0519,0.29,2.45e-06,0.166,0.252,140.966,6,spotify:track:2ekgO0anuwqS7VuzdNvgcT,Sucker Punch,OneRepublic
0,0.764,0.32,11,-7.208,1,0.0546,0.836,0.0,0.0822,0.576,91.019,16,spotify:track:2jfGnCcacCQ04wi1yN4zPQ,Memories,Maroon 5
0,0.759,0.401,4,-8.999,1,0.259,0.86,0.0,0.299,0.576,100.126,5,spotify:track:76aY9nowIW3sC7WnjAyn5Y,Love Yourself,Justin Bieber
0,0.6,0.465,4,-4.951,1,0.0314,0.643,1.48e-06,0.149,0.0682,113.81,17,spotify:track:5S6a6hSKkwfgjTpG6mOYb3,Control,Zoe Wees
0,0.689,0.412,7,-7.523,0,0.0301,0.488,0.00016,0.0659,0.538,126.755,9,spotify:track:3t1ANEURprRjHTXWfR2RDH,Trampoline,SHAED
0,0.517,0.762,11,-5.807,0,0.0453,0.162,0.0,0.0897,0.351,156.93,11,spotify:track:500ZQ2xLHpm4WWJbky6Uaw,Waves,Dean Lewis
0,0.501,0.405,1,-5.679,1,0.032,0.751,0.0,0.105,0.447,109.889,17,spotify:track:4FKMNVJPhVtoDq5yzh9dkG,Someone You Loved,Lewis Capaldi
0,0.626,0.307,5,-10.394,1,0.0343,0.745,0.000846,0.198,0.146,94.19,5,spotify:track:0XkxPTtV855Z5GV3u8dnjZ,Happier - Stripped,Marshmello
0,0.637,0.318,10,-10.07,1,0.0716,0.622,1.58e-06,0.125,0.383,74.11,5,spotify:track:5aQ1wPBh7yho6FS2s3EZQX,I Took A Pill In Ibiza,Mike Posner
0,0.596,0.74,8,-6.127,1,0.0338,0.341,2.05e-05,0.102,0.493,118.031,4,spotify:track:6v4d3KnhLsb6Oi91OHdTI4,Apologize,OneRepublic
0,0.57,0.347,11,-6.649,0,0.0358,0.711,0.0,0.11,0.43,74.054,15,spotify:track:6YyYALzwHQ9ZR2fe5fKYzB,Mercy - Acoustic,Shawn Mendes
0,0.722,0.417,8,-6.825,1,0.0618,0.39,0.0,0.0612,0.451,113.965,16,spotify:track:3uuHIYVzPmu5GdxMl3ixjE,Issues,Julia Michaels
0,0.621,0.524,5,-7.056,1,0.0248,0.168,0.0,0.0925,0.434,97.45,2,spotify:track:4YbFUut7FrCAH6DbHIm31Z,All This Love,JP Cooper
0,0.658,0.559,9,-6.306,1,0.0496,0.304,0.0,0.0655,0.412,79.987,2,spotify:track:2Xzix4HG61r7eNCbbbSenk,Stickwitu,The Pussycat Dolls
0,0.723,0.819,0,-7.765,1,0.0309,0.018,0.0,0.223,0.577,116.983,19,spotify:track:6HxDG52u8dNCR3jOU8CEG5,Ugly,Sugababes
0,0.691,0.626,6,-7.714,1,0.232,0.188,0.0,0.134,0.596,94.954,16,spotify:track:6oBJrzb8cTMiZ07dvfKTIr,So Sick,Ne-Yo
0,0.509,0.183,2,-8.759,1,0.0414,0.955,1.9e-06,0.107,0.292,125.773,5,spotify:track:4sPii42ahaH5tJK0BpxT9f,King - Acoustic,Years & Years
0,0.443,0.772,0,-5.066,1,0.067,0.0851,0.0,0.0566,0.794,87.825,19,spotify:track:7EeKB2MXQqGOuFXuINIv2x,Sunday Morning,Maroon 5
